City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Namatanai,PG,84.76,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
157,Mattru,SL,72.32,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
159,Sabang,ID,84.02,broken clouds,5.8933,95.3214,Hotel Citra
160,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
163,Anshan,CN,74.95,overcast clouds,41.1236,122.99,7Days Inn Anshan Bus Station
167,Itarema,BR,77.52,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
168,Brownfield,US,83.39,clear sky,33.1812,-102.2744,"Holiday Inn Express & Suites Brownfield, an IHG Hotel"
170,Zlynka,RU,67.62,clear sky,52.4267,31.7378,
171,Santa Cruz,BO,65.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
176,Kenai,US,66.02,broken clouds,60.5544,-151.2583,Aspen Extended Stay Suites
178,Sabha,LY,84.09,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
181,Balkanabat,TM,82.0,clear sky,39.5108,54.3671,Nebitchi Hotel
182,Oussouye,SN,82.49,broken clouds,12.485,-16.5469,Auberge du Routard
183,Joniskelis,LT,68.31,overcast clouds,56.0253,24.1689,Liepu Cottage
185,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
186,Half Moon Bay,US,65.62,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
187,Boke,GN,74.82,moderate rain,10.9409,-14.2967,Hôtel Rio Nunez - Boké
188,Fairbanks,US,80.56,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
189,Biltine,TD,80.04,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
200,Esqueda,MX,72.16,broken clouds,30.7167,-109.5833,Hotel Esqueda
202,Bambous Virieux,MU,68.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
203,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
205,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
206,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
212,Goderich,CA,79.12,overcast clouds,43.7501,-81.7165,Harmony Inn
214,Erenhot,CN,83.17,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
217,Belen,TR,68.14,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
218,Itacare,BR,71.83,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
220,Dibulla,CO,77.09,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
221,Maiduguri,NG,78.96,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
222,Belmonte,BR,72.66,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
223,Mabaruma,GY,73.0,broken clouds,8.2,-59.7833,Monty Brooms Guest House
225,Prestea,GH,72.82,light rain,5.4327,-2.1428,Channel 5
228,Ust-Ilimsk,RU,83.25,broken clouds,58.0006,102.6619,AleNat Center
230,Boralday,KZ,80.11,few clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
232,Guanambi,BR,68.07,scattered clouds,-14.2233,-42.7814,Hotel Portal Guanambi
233,Chandvad,IN,75.34,overcast clouds,20.3333,74.25,Hotel nisarg & lodging
234,Brigantine,US,75.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
235,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
237,Dmytrivka,UA,73.27,broken clouds,45.9717,28.9864,
238,Nikolskoye,RU,71.71,clear sky,59.7035,30.7861,Tourist House - Sablino
239,Ust-Omchug,RU,77.76,scattered clouds,61.15,149.6333,
240,Eyl,SO,80.31,overcast clouds,7.9803,49.8164,Amiin Hotel
242,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
245,Monte Gordo,PT,67.95,clear sky,37.1819,-7.4523,Alcazar Hotel & Spa
246,Nusaybin,TR,76.59,clear sky,37.0778,41.2178,Aydinlar Hotel
247,Wuwei,CN,77.99,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
248,Aklavik,CA,76.35,scattered clouds,68.2191,-135.0107,Aklavik Inn
251,Ola,RU,71.15,overcast clouds,59.5833,151.2833,
252,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
255,Quatre Cocos,MU,68.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
256,Poum,NC,75.09,few clouds,-20.2333,164.0167,
257,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
266,Nishihara,JP,76.68,mist,26.1842,127.7558,Minshuku Agaihama
268,Kaduna,NG,68.92,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
270,Marawi,PH,77.99,moderate rain,7.9986,124.2928,Derogongan Residence
273,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
275,Belaya Gora,RU,65.77,broken clouds,68.5333,146.4167,
276,Zavetnoye,RU,72.3,clear sky,47.1194,43.8903,
278,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
282,Inuvik,CA,74.26,smoke,68.3499,-133.7218,Nova Inn Inuvik
283,Srednekolymsk,RU,66.42,overcast clouds,67.45,153.6833,
284,Praia Da Vitoria,PT,68.76,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
286,Benidorm,ES,75.42,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
287,Harper,LR,76.82,overcast clouds,4.375,-7.7169,Screensaver
288,Ust-Koksa,RU,66.33,scattered clouds,50.2696,85.6108,Uymonskaya Dolina
289,Xochistlahuaca,MX,76.19,light rain,16.7833,-98.25,La frontera
290,Lorengau,PG,83.82,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
291,Toora-Khem,RU,77.34,overcast clouds,52.4675,96.11,
292,Grand Gaube,MU,68.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
294,Luga,RU,66.7,clear sky,58.7372,29.8453,U Lysoy Gory Hotel
295,Kavieng,PG,83.86,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
297,Sao Filipe,CV,74.34,scattered clouds,14.8961,-24.4956,Hotel Xaguate
299,Trondheim,NO,68.05,clear sky,63.4305,10.3951,Comfort Hotel Trondheim
301,Bojnurd,IR,71.55,clear sky,37.4747,57.329,Hotel negin bojnourd
303,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
305,Yerbogachen,RU,79.81,few clouds,61.2767,108.0108,
308,Coari,BR,76.5,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
309,Guerrero Negro,MX,69.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
310,Souillac,MU,68.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
311,Dawei,MM,80.38,overcast clouds,14.0833,98.2,Hotel Dawei
312,Buala,SB,84.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
313,Bubaque,GW,80.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
315,Upata,VE,69.44,scattered clouds,8.0086,-62.3989,Posada Villa Nela
317,Hervey Bay,AU,66.02,moderate rain,-25.2986,152.8535,Shelly Bay Resort
318,Katangli,RU,68.85,clear sky,51.7102,143.2326,
319,Lakatoro,VU,80.65,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
320,Sao Joao Da Barra,BR,65.52,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
322,Acajutla,SV,79.65,broken clouds,13.5928,-89.8275,Laureles
327,Russell,US,80.2,few clouds,32.3502,-85.1999,Macs
328,Birobidzhan,RU,81.95,clear sky,48.8,132.95,Hotel Central (Vostok)
330,Beyneu,KZ,73.26,clear sky,45.3167,55.2,NUR
331,Amga,RU,76.82,overcast clouds,60.8953,131.9608,Algys
332,Salou,ES,72.25,overcast clouds,41.0766,1.1416,Hotel Santa Monica Playa
333,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
334,Yatou,CN,79.14,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
336,Leavenworth,US,80.74,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
337,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
338,Tumsar,IN,84.9,overcast clouds,21.3833,79.7333,Sai Guest House
